item_id,name_zh_cn,name_zh_tw
1,金币,金幣
2,火之碎晶,火之碎晶
3,冰之碎晶,冰之碎晶
4,风之碎晶,風之碎晶
5,土之碎晶,土之碎晶
6,雷之碎晶,雷之碎晶
7,水之碎晶,水之碎晶
8,火之水晶,火之水晶
9,冰之水晶,冰之水晶
10,风之水晶,風之水晶
11,土之水晶,土之水晶
12,雷之水晶,雷之水晶
13,水之水晶,水之水晶
14,火之晶簇,火之晶簇
15,冰之晶簇,冰之晶簇
16,风之晶簇,風之晶簇
17,土之晶簇,土之晶簇
18,雷之晶簇,雷之晶簇
19,水之晶簇,水之晶簇
20,黑涡团军票,黑渦團軍票
21,双蛇党军票,雙蛇黨軍票
22,恒辉队军票,恒輝隊軍票
23,亚拉戈哲学神典石,亞拉戈哲學神典石
24,亚拉戈神话神典石,亞拉戈神話神典石
25,狼印战绩,狼印戰績
26,亚拉戈战记神典石,亞拉戈戰記神典石
27,同盟徽章,同盟徽章
28,亚拉戈诗学神典石,亞拉戈詩學神典石
29,金碟币,金碟幣
30,亚拉戈法典神典石,亞拉戈法典神典石
31,亚拉戈禁书神典石,亞拉戈禁書神典石
32,亚拉戈传承神典石,亞拉戈傳承神典石
33,亚拉戈圣典神典石,亞拉戈圣典神典石
34,亚拉戈真理神典石,亞拉戈真理神典石
35,亚拉戈万物神典石,亞拉戈萬物神典石
36,亚拉戈虚构神典石,亞拉戈虛構神典石
37,亚拉戈创世神典石,亞拉戈創世神典石
38,亚拉戈魔典神典石,亞拉戈魔典神典石
39,亚拉戈幻想神典石,亞拉戈幻想神典石
40,亚拉戈奇谭神典石,亞拉戈奇譚神典石
41,亚拉戈默示神典石,亞拉戈默示神典石
42,亚拉戈经典神典石,亞拉戈經典神典石
43,亚拉戈天文神典石,亞拉戈天文神典石
44,亚拉戈因果神典石,亞拉戈因果神典石
45,亚拉戈神曲神典石,亞拉戈神曲神典石
46,亚拉戈美学神典石,亞拉戈美學神典石
47,亚拉戈天道神典石,亞拉戈天道神典石
48,亚拉戈数理神典石,亞拉戈數理神典石
49,亚拉戈记忆神典石,亞拉戈記憶神典石
100,过期青铜步兵剑,過期青銅步兵劍
101,过期青铜小刀,過期青銅小刀
102,过期青铜骑兵剑,過期青銅騎兵劍
103,过期失明小刀,過期失明小刀
104,过期静寂小刀,過期靜寂小刀
105,过期黄铜步兵剑,過期黃銅步兵劍
106,过期黄铜小刀,過期黃銅小刀
107,过期麻痹小刀,過期麻痹小刀
108,过期昏睡小刀,過期昏睡小刀
109,过期梣木石刃棒,過期梣木石刃棒
110,过期黑铁步兵剑,過期黑鐵步兵劍
111,过期黑铁小刀,過期黑鐵小刀
